Time,ID,D0,D1,D2,D3,D4,D5,D6,D7,Class
Z(1708496751.582474),0,0,0,0,0,0,0,0,0,T
Z(1708496751.587357),316,31,17,5E,0D,17,18,0,7F,R
Z(1708496751.587677),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.587683),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.587930),260,1,17,0,30,3,AF,67,29,R
Z(1708496751.588210),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.589251),2B0,35,FF,0,7,67,2A,0,0C,R
Z(1708496751.595240),0,0,0,0,0,0,0,0,0,T
Z(1708496751.596115),0,0,0,0,0,0,0,0,0,T
Z(1708496751.596229),0,0,0,0,0,0,0,0,0,T
Z(1708496751.596489),0,0,0,0,0,0,0,0,0,T
Z(1708496751.597231),316,31,17,5E,0D,17,18,0,7F,R
Z(1708496751.597479),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.597607),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.598094),260,1,17,0,30,3,AF,67,38,R
Z(1708496751.598098),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.599586),2B0,35,FF,0,7,98,2A,0,0C,R
Z(1708496751.600126),0,0,0,0,0,0,0,0,0,T
Z(1708496751.603359),0,0,0,0,0,0,0,0,0,T
Z(1708496751.607302),316,31,17,62,0D,17,18,0,7F,R
Z(1708496751.607655),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.607660),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.608036),260,1,17,0,30,3,AF,67,0B,R
Z(1708496751.608225),329,0F,94,79,0C,11,2A,0,0C,R
Z(1708496751.609984),2B0,35,FF,0,7,89,2A,0,0C,R
Z(1708496751.615487),0,0,0,0,0,0,0,0,0,T
Z(1708496751.616274),0,0,0,0,0,0,0,0,0,T
Z(1708496751.616279),0,0,0,0,0,0,0,0,0,T
Z(1708496751.616420),0,0,0,0,0,0,0,0,0,T
Z(1708496751.617458),316,31,17,60,0D,17,18,0,7F,R
Z(1708496751.617766),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.617771),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.618189),260,1,17,0,30,3,AF,67,1A,R
Z(1708496751.618613),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.618620),0,0,0,0,0,0,0,0,0,T
Z(1708496751.620080),0,0,0,0,0,0,0,0,0,T
Z(1708496751.620092),2B0,35,FF,0,7,BA,0,0,C4,R
Z(1708496751.624133),0,0,0,0,0,0,0,0,0,T
Z(1708496751.627324),316,31,17,60,0D,17,18,0,7F,R
Z(1708496751.627663),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.627673),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.628050),260,1,17,0,30,3,AF,67,29,R
Z(1708496751.628288),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.628805),559,0,0,0,0,0,0,0,0,R
Z(1708496751.630730),2B0,35,FF,0,7,AB,0,0,0,R
Z(1708496751.633945),556,33,67,4A,0D,0,24,0,2,R
Z(1708496751.633951),557,78,7B,80,80,1D,0,0,0,R
Z(1708496751.635119),0,0,0,0,0,0,0,0,0,T
Z(1708496751.635296),50C,0,0,0,0,4,0,0,78,R
Z(1708496751.636163),0,0,0,0,0,0,0,0,0,T
Z(1708496751.636168),0,0,0,0,0,0,0,0,0,T
Z(1708496751.636499),0,0,0,0,0,0,0,0,0,T
Z(1708496751.637879),316,31,17,54,0D,17,18,0,7F,R
Z(1708496751.637885),18F,0,36,17,0,0,56,0,0,R
Z(1708496751.638139),200,0C,0,0,0,0,0,0,0,R
Z(1708496751.638439),260,1,17,0,30,3,AF,67,38,R
Z(1708496751.638593),329,4F,94,79,0C,11,2A,0,0C,R
Z(1708496751.639699),500,3D,94,79,0C,11,2A,0,0C,R
Z(1708496751.640123),0,0,0,0,0,0,0,0,0,T
Z(1708496751.641020),2B0,35,FF,0,7,DC,0,0,F4,R
