Time,ID,D0,D1,D2,D3,D4,D5,D6,D7,Class
Z(1709970799.771740),197,0,0,0,0,0,0,0,0,R
Z(1709970799.778720),106,0D,60,0,0,0,0,0,0,R
Z(1709970799.787753),0,0,0,0,0,0,0,0,0,T
Z(1709970799.791854),197,0,0,0,0,0,0,0,0,R
Z(1709970799.800260),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.801699),103,0,0,0,0,0,0,0,0,R
Z(1709970799.807694),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.811608),197,0,0,0,0,0,0,0,0,R
Z(1709970799.818663),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.827636),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.831595),197,0,0,0,0,0,0,0,0,R
Z(1709970799.838606),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.841618),280,0,0,2E,68,0,0,0,0,R
Z(1709970799.843597),284,0,0,0,0,90,0,0,0,R
Z(1709970799.848007),0,0,0,0,0,0,0,0,0,T
Z(1709970799.851630),197,0,0,0,0,0,0,0,0,R
Z(1709970799.858634),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.867617),0,0,0,0,0,0,0,0,0,T
Z(1709970799.871694),197,0,0,0,0,0,0,0,0,R
Z(1709970799.878675),106,0D,64,0,0,0,0,0,0,R
Z(1709970799.887687),106,0D,60,0,0,0,0,0,0,R
Z(1709970799.891674),197,0,0,0,0,0,0,0,0,R
Z(1709970799.900216),106,0D,60,0,0,0,0,0,0,R
Z(1709970799.901712),103,0,0,0,0,0,0,0,0,R
Z(1709970799.907727),106,0D,60,0,0,0,0,0,0,R
Z(1709970799.911833),197,0,0,0,0,0,0,0,0,R
Z(1709970799.918662),0,0,0,0,0,0,0,0,0,T
Z(1709970799.927733),0,0,0,0,0,0,0,0,0,T
Z(1709970799.931723),197,0,0,0,0,0,0,0,0,R
Z(1709970799.938706),106,0D,5C,0,0,0,0,0,0,R
Z(1709970799.941698),280,0,0,2E,68,0,0,0,0,R
Z(1709970799.943689),284,0,0,0,0,90,0,0,0,R
Z(1709970799.948045),106,0D,5C,0,0,0,0,0,0,R
Z(1709970799.951587),197,0,0,0,0,0,0,0,0,R
Z(1709970799.959069),106,0D,5C,0,0,0,0,0,0,R
Z(1709970799.967787),106,0D,5C,0,0,0,0,0,0,R
Z(1709970799.971718),197,0,0,0,0,0,0,0,0,R
Z(1709970799.978718),0,0,0,0,0,0,0,0,0,T
Z(1709970799.987694),106,0D,54,0,0,0,0,0,0,R
Z(1709970799.991728),197,0,0,0,0,0,0,0,0,R
Z(1709970800.000289),0,0,0,0,0,0,0,0,0,T
Z(1709970800.001730),103,0,0,0,0,0,0,0,0,R
Z(1709970800.007743),0,0,0,0,0,0,0,0,0,T
Z(1709970800.011725),197,0,0,0,0,0,0,0,0,R
Z(1709970800.018670),106,0D,54,0,0,0,0,0,0,R
Z(1709970800.027720),0,0,0,0,0,0,0,0,0,T
Z(1709970800.031761),0,0,0,0,0,0,0,0,0,T
Z(1709970800.038667),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.041733),280,0,0,2F,68,0,0,0,0,R
Z(1709970800.043722),284,0,0,0,0,90,0,0,0,R
Z(1709970800.048017),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.051580),197,0,0,0,0,0,0,0,0,R
Z(1709970800.058704),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.067750),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.071769),197,0,0,0,0,0,0,0,0,R
Z(1709970800.078692),106,0D,3C,0,0,0,0,0,0,R
Z(1709970800.087729),0,0,0,0,0,0,0,0,0,T
Z(1709970800.091773),197,0,0,0,0,0,0,0,0,R
Z(1709970800.100331),106,0D,3C,0,0,0,0,0,0,R
Z(1709970800.101746),103,0,0,0,0,0,0,0,0,R
Z(1709970800.107781),0,0,0,0,0,0,0,0,0,T
Z(1709970800.111738),197,0,0,0,0,0,0,0,0,R
Z(1709970800.118665),0,0,0,0,0,0,0,0,0,T
Z(1709970800.127745),106,0D,34,0,0,0,0,0,0,R
Z(1709970800.131690),0,0,0,0,0,0,0,0,0,T
Z(1709970800.138698),106,0D,34,0,0,0,0,0,0,R
Z(1709970800.141751),280,0,0,2F,68,0,0,0,0,R
Z(1709970800.143825),284,0,0,0,0,90,0,0,0,R
Z(1709970800.148025),106,0D,34,0,0,0,0,0,0,R
Z(1709970800.151774),0,0,0,0,0,0,0,0,0,T
Z(1709970800.159034),106,0D,34,0,0,0,0,0,0,R
Z(1709970800.167779),0,0,0,0,0,0,0,0,0,T
Z(1709970800.171721),197,0,0,0,0,0,0,0,0,R
Z(1709970800.178693),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.187744),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.191792),197,0,0,0,0,0,0,0,0,R
Z(1709970800.200281),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.201767),103,0,0,0,0,0,0,0,0,R
Z(1709970800.207756),106,0D,44,0,0,0,0,0,0,R
Z(1709970800.211792),0,0,0,0,0,0,0,0,0,T
Z(1709970800.218662),106,0D,4C,0,0,0,0,0,0,R
Z(1709970800.227767),106,0D,4C,0,0,0,0,0,0,R
Z(1709970800.231793),197,0,0,0,0,0,0,0,0,R
Z(1709970800.238665),106,0D,4C,0,0,0,0,0,0,R
Z(1709970800.239796),280,0,0,2F,68,0,0,0,0,R
Z(1709970800.241761),284,0,0,0,0,90,0,0,0,R
Z(1709970800.248082),106,0D,4C,0,0,0,0,0,0,R
Z(1709970800.251829),197,0,0,0,0,0,0,0,0,R
Z(1709970800.258694),106,0D,4C,0,0,0,0,0,0,R
Z(1709970800.267791),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.271802),197,0,0,0,0,0,0,0,0,R
Z(1709970800.278708),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.287753),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.291909),0,0,0,0,0,0,0,0,0,T
Z(1709970800.300823),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.301703),103,0,0,0,0,0,0,0,0,R
Z(1709970800.307808),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.311733),197,0,0,0,0,0,0,0,0,R
Z(1709970800.318620),0,0,0,0,0,0,0,0,0,T
Z(1709970800.327884),0,0,0,0,0,0,0,0,0,T
Z(1709970800.331823),197,0,0,0,0,0,0,0,0,R
Z(1709970800.338694),106,0D,60,0,0,0,0,0,0,R
Z(1709970800.341914),280,0,0,2F,68,0,0,0,0,R
Z(1709970800.343856),284,0,0,0,0,90,0,0,0,R
Z(1709970800.348129),0,0,0,0,0,0,0,0,0,T
Z(1709970800.351908),197,0,0,0,0,0,0,0,0,R
Z(1709970800.359654),106,0D,64,0,0,0,0,0,0,R
Z(1709970800.367919),106,0D,64,0,0,0,0,0,0,R
Z(1709970800.371881),0,0,0,0,0,0,0,0,0,T
Z(1709970800.378762),106,0D,64,0,0,0,0,0,0,R
Z(1709970800.387862),106,0D,64,0,0,0,0,0,0,R
Z(1709970800.391779),0,0,0,0,0,0,0,0,0,T
Z(1709970800.401925),106,0D,64,0,0,0,0,0,0,R
Z(1709970800.402277),103,0,0,0,0,0,0,0,0,R
Z(1709970800.408058),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.411921),197,0,0,0,0,0,0,0,0,R
Z(1709970800.418866),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.427920),106,0D,58,0,0,0,0,0,0,R
Z(1709970800.431924),197,0,0,0,0,0,0,0,0,R
Z(1709970800.438706),0,0,0,0,0,0,0,0,0,T
Z(1709970800.441845),280,0,0,30,68,0,0,0,0,R
